Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S08000025,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,29.3664195
2012,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,384.5110801
2012,S08000025,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,233.0370181
2012,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1304.804265
2012,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1540.198286
2012,S08000026,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,16.0830806
2012,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,62.81255285
2012,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,31.66644676
2012,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,307.6707923
2012,S08000026,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,861.3051457
2012,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,842.374681
2012,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012,S08000028,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,18.64280388
2012,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,157.255057
2012,S08000028,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,22.0462604
2012,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,566.2057095
2012,S08000028,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,117.6861518
2012,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,2639.428437
2012,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,724.9948939
2012,S08000029,,0-44 years,,Males,,Coronary Heart Disease,6,,6.132649202,,6.703515313
2012,S08000029,,0-44 years,,Females,,Coronary Heart Disease,3,,3.023309718,,3.049408886
2012,S08000029,,45-64 years,,Males,,Coronary Heart Disease,64,,128.5424491,,129.6559723
2012,S08000029,,45-64 years,,Females,,Coronary Heart Disease,13,,24.90326041,,24.57562342
2012,S08000029,,65-74 years,,Males,,Coronary Heart Disease,62,,345.9628369,,356.2637945
2012,S08000029,,65-74 years,,Females,,Coronary Heart Disease,38,,193.8973365,,202.3511102
2012,S08000029,,75plus years,,Males,,Coronary Heart Disease,155,,1302.411562,,1473.960286
2012,S08000029,,75plus years,,Females,,Coronary Heart Disease,173,,975.5822478,,950.5871066
2012,S08000030,,0-44 years,,Males,,Coronary Heart Disease,7,,6.400994897,,7.615717675
2012,S08000030,,0-44 years,,Females,,Coronary Heart Disease,2,,1.829106573,,1.922091745
2012,S08000030,,45-64 years,,Males,,Coronary Heart Disease,59,,107.0391872,,107.0297939
2012,S08000030,,45-64 years,,Females,,Coronary Heart Disease,13,,22.58709061,,22.53754372
2012,S08000030,,65-74 years,,Males,,Coronary Heart Disease,78,,388.3301802,,400.5036934
2012,S08000030,,65-74 years,,Females,,Coronary Heart Disease,43,,191.1281003,,196.9192482
2012,S08000030,,75plus years,,Males,,Coronary Heart Disease,210,,1396.833843,,1560.745203
2012,S08000030,,75plus years,,Females,,Coronary Heart Disease,217,,954.0138926,,906.7676116
2012,S08000031,,0-44 years,,Males,,Coronary Heart Disease,24,,7.37123376,,7.802352726
2012,S08000031,,0-44 years,,Females,,Coronary Heart Disease,9,,2.740093041,,2.822106976
2012,S08000031,,45-64 years,,Males,,Coronary Heart Disease,218,,150.1274017,,155.5150741
2012,S08000031,,45-64 years,,Females,,Coronary Heart Disease,60,,38.531191,,40.0540558
2012,S08000031,,65-74 years,,Males,,Coronary Heart Disease,219,,491.1194833,,505.1013057
2012,S08000031,,65-74 years,,Females,,Coronary Heart Disease,119,,227.9693487,,229.3661609
2012,S08000031,,75plus years,,Males,,Coronary Heart Disease,451,,1427.124866,,1536.394752
2012,S08000031,,75plus years,,Females,,Coronary Heart Disease,519,,961.9661922,,944.0161471
2012,S08000032,,0-44 years,,Males,,Coronary Heart Disease,17,,9.431136064,,9.28823562
2012,S08000032,,0-44 years,,Females,,Coronary Heart Disease,4,,2.196812425,,2.184968189
2012,S08000032,,45-64 years,,Males,,Coronary Heart Disease,137,,155.0896577,,158.4406989
2012,S08000032,,45-64 years,,Females,,Coronary Heart Disease,27,,28.65420739,,29.98428204
2012,S08000032,,65-74 years,,Males,,Coronary Heart Disease,154,,547.6139677,,557.9351717
2012,S08000032,,65-74 years,,Females,,Coronary Heart Disease,70,,214.9019126,,218.540132
2012,S08000032,,75plus years,,Males,,Coronary Heart Disease,261,,1462.430661,,1604.221837
2012,S08000032,,75plus years,,Females,,Coronary Heart Disease,274,,952.0831162,,965.3919196
2012,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.880185075,,6.172823438
2012,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,25,,1.702500906,,1.714013781
2012,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,906,,127.2863423,,129.1217869
