FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDischargesQF,CrudeRate,CrudeRateQF,EASR
2012/13,S08000024,,All,d,45-64 years,,Females,,Coronary Heart Disease,427,,391.247778,,402.3555418
2012/13,S08000024,,All,d,65-74 years,,Males,,Coronary Heart Disease,998,,3062.289046,,3109.755083
2012/13,S08000024,,All,d,65-74 years,,Females,,Coronary Heart Disease,453,,1217.283818,,1229.658986
2012/13,S08000024,,All,d,75plus years,,Males,,Coronary Heart Disease,861,,3702.907277,,3764.460424
2012/13,S08000024,,All,d,75plus years,,Females,,Coronary Heart Disease,711,,1957.491328,,1921.56501
2012/13,S08000025,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,18.05426597
2012/13,S08000025,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000025,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1643.453145
2012/13,S08000025,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,633.4822702
2012/13,S08000025,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,3645.176109
2012/13,S08000025,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1778.811105
2012/13,S08000025,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,4901.338083
2012/13,S08000025,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2671.301309
2012/13,S08000026,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,97.78513004
2012/13,S08000026,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000026,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1296.864094
2012/13,S08000026,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,760.4788694
2012/13,S08000026,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,2661.984313
2012/13,S08000026,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1970.181514
2012/13,S08000026,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,1957.145351
2012/13,S08000026,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2401.443108
2012/13,S08000028,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,89.3117527
2012/13,S08000028,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000028,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1838.146439
2012/13,S08000028,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,568.7200999
2012/13,S08000028,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,5415.15817
2012/13,S08000028,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1833.134882
2012/13,S08000028,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,6582.22587
2012/13,S08000028,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2110.60686
2012/13,S08000029,,All,d,0-44 years,,Males,,Coronary Heart Disease,77,,78.70233143,,79.96942857
2012/13,S08000029,,All,d,0-44 years,,Females,,Coronary Heart Disease,31,,31.24086709,,29.75700265
2012/13,S08000029,,All,d,45-64 years,,Males,,Coronary Heart Disease,850,,1707.204403,,1718.393608
2012/13,S08000029,,All,d,45-64 years,,Females,,Coronary Heart Disease,267,,511.4746561,,516.5701227
2012/13,S08000029,,All,d,65-74 years,,Males,,Coronary Heart Disease,560,,3124.825624,,3147.105075
2012/13,S08000029,,All,d,65-74 years,,Females,,Coronary Heart Disease,336,,1714.460659,,1754.103294
2012/13,S08000029,,All,d,75plus years,,Males,,Coronary Heart Disease,574,,4823.124107,,4946.541636
2012/13,S08000029,,All,d,75plus years,,Females,,Coronary Heart Disease,439,,2475.610444,,2450.85458
2012/13,S08000030,,All,d,0-44 years,,Males,,Coronary Heart Disease,95,,86.87064504,,97.70357007
2012/13,S08000030,,All,d,0-44 years,,Females,,Coronary Heart Disease,40,,36.58213146,,36.69646242
2012/13,S08000030,,All,d,45-64 years,,Males,,Coronary Heart Disease,862,,1563.860668,,1566.015024
2012/13,S08000030,,All,d,45-64 years,,Females,,Coronary Heart Disease,276,,479.5413083,,480.0733674
2012/13,S08000030,,All,d,65-74 years,,Males,,Coronary Heart Disease,695,,3460.121478,,3500.444539
2012/13,S08000030,,All,d,65-74 years,,Females,,Coronary Heart Disease,256,,1137.878923,,1147.842443
2012/13,S08000030,,All,d,75plus years,,Males,,Coronary Heart Disease,704,,4682.71917,,4642.53352
2012/13,S08000030,,All,d,75plus years,,Females,,Coronary Heart Disease,621,,2730.150356,,2680.44554
2012/13,S08000031,,All,d,0-44 years,,Males,,Coronary Heart Disease,340,,104.4258116,,115.9022098
2012/13,S08000031,,All,d,0-44 years,,Females,,Coronary Heart Disease,128,,38.97021214,,40.81984679
2012/13,S08000031,,All,d,45-64 years,,Males,,Coronary Heart Disease,2893,,1992.287033,,2041.644173
2012/13,S08000031,,All,d,45-64 years,,Females,,Coronary Heart Disease,1143,,734.0191885,,752.9761989
2012/13,S08000031,,All,d,65-74 years,,Males,,Coronary Heart Disease,1607,,3603.785432,,3639.403219
2012/13,S08000031,,All,d,65-74 years,,Females,,Coronary Heart Disease,976,,1869.731801,,1879.713686
2012/13,S08000031,,All,d,75plus years,,Males,,Coronary Heart Disease,1397,,4420.606291,,4461.675507
2012/13,S08000031,,All,d,75plus years,,Females,,Coronary Heart Disease,1574,,2917.408066,,2891.863146
2012/13,S08000032,,All,d,0-44 years,,Males,,Coronary Heart Disease,241,,133.700223,,135.5193833
2012/13,S08000032,,All,d,0-44 years,,Females,,Coronary Heart Disease,82,,45.03465472,,42.55624142
2012/13,S08000032,,All,d,45-64 years,,Males,,Coronary Heart Disease,2289,,2591.242529,,2644.643339
2012/13,S08000032,,All,d,45-64 years,,Females,,Coronary Heart Disease,725,,769.4185318,,785.7784535
2012/13,S08000032,,All,d,65-74 years,,Males,,Coronary Heart Disease,1552,,5518.810895,,5616.166432
2012/13,S08000032,,All,d,65-74 years,,Females,,Coronary Heart Disease,703,,2158.229208,,2184.339616
2012/13,S08000032,,All,d,75plus years,,Males,,Coronary Heart Disease,1322,,7407.407407,,7324.131672
2012/13,S08000032,,All,d,75plus years,,Females,,Coronary Heart Disease,1319,,4583.20303,,4616.436376
2012/13,S92000003,d,All,d,0-44 years,,Males,,Coronary Heart Disease,1262,,86.28829727,,91.42801073
2012/13,S92000003,d,All,d,0-44 years,,Females,,Coronary Heart Disease,420,,28.60201522,,28.71003316
2012/13,S92000003,d,All,d,45-64 years,,Males,,Coronary Heart Disease,12956,,1820.222793,,1843.575545
2012/13,S92000003,d,All,d,45-64 years,,Females,,Coronary Heart Disease,4376,,587.2950473,,595.3053869
2012/13,S92000003,d,All,d,65-74 years,,Males,,Coronary Heart Disease,8991,,3762.255261,,3814.434332
2012/13,S92000003,d,All,d,65-74 years,,Females,,Coronary Heart Disease,4460,,1662.262541,,1683.563149
2012/13,S92000003,d,All,d,75plus years,,Males,,Coronary Heart Disease,8119,,4950.881451,,4964.873238
2012/13,S92000003,d,All,d,75plus years,,Females,,Coronary Heart Disease,7317,,2875.47846,,2852.899094
2012/13,S08000015,,Elective,,0-44 years,,Males,,Coronary Heart Disease,21,,22.33591083,,22.44849122
2012/13,S08000015,,Elective,,0-44 years,,Females,,Coronary Heart Disease,9,,9.319954022,,8.737514092
2012/13,S08000015,,Elective,,45-64 years,,Males,,Coronary Heart Disease,332,,639.5808049,,638.1123068
2012/13,S08000015,,Elective,,45-64 years,,Females,,Coronary Heart Disease,111,,197.7129422,,198.8055418
2012/13,S08000015,,Elective,,65-74 years,,Males,,Coronary Heart Disease,210,,1063.991488,,1085.058353
2012/13,S08000015,,Elective,,65-74 years,,Females,,Coronary Heart Disease,114,,518.0169946,,518.9153541
2012/13,S08000015,,Elective,,75plus years,,Males,,Coronary Heart Disease,113,,868.6294104,,799.4785794
2012/13,S08000015,,Elective,,75plus years,,Females,,Coronary Heart Disease,54,,272.3146747,,280.4063403
2012/13,S08000016,,Elective,,0-44 years,,Males,,Coronary Heart Disease,2,,7.469096613,,7.729343093
2012/13,S08000016,,Elective,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000016,,Elective,,45-64 years,,Males,,Coronary Heart Disease,78,,455.3946754,,451.3869585
2012/13,S08000016,,Elective,,45-64 years,,Females,,Coronary Heart Disease,13,,73.79235965,,71.79489914
2012/13,S08000016,,Elective,,65-74 years,,Males,,Coronary Heart Disease,74,,1109.778044,,1127.017461
2012/13,S08000016,,Elective,,65-74 years,,Females,,Coronary Heart Disease,19,,264.0722724,,267.6984238
2012/13,S08000016,,Elective,,75plus years,,Males,,Coronary Heart Disease,42,,911.0629067,,841.4057498
2012/13,S08000016,,Elective,,75plus years,,Females,,Coronary Heart Disease,22,,340.3465347,,357.3762509
2012/13,S08000017,,Elective,,0-44 years,,Males,,Coronary Heart Disease,3,,8.4736188,,8.081647733
2012/13,S08000017,,Elective,,0-44 years,,Females,,Coronary Heart Disease,2,,5.590965001,,4.874210552
2012/13,S08000017,,Elective,,45-64 years,,Males,,Coronary Heart Disease,91,,410.1870633,,406.1213728
2012/13,S08000017,,Elective,,45-64 years,,Females,,Coronary Heart Disease,21,,90.77548197,,89.46529421
2012/13,S08000017,,Elective,,65-74 years,,Males,,Coronary Heart Disease,101,,1111.111111,,1134.461217
2012/13,S08000017,,Elective,,65-74 years,,Females,,Coronary Heart Disease,28,,286.4743196,,291.9752892
2012/13,S08000017,,Elective,,75plus years,,Males,,Coronary Heart Disease,41,,627.58304,,586.9971669
2012/13,S08000017,,Elective,,75plus years,,Females,,Coronary Heart Disease,13,,145.2838623,,146.3076203
2012/13,S08000019,,Elective,,0-44 years,,Males,,Coronary Heart Disease,12,,14.6484375,,14.92992714
2012/13,S08000019,,Elective,,0-44 years,,Females,,Coronary Heart Disease,1,,1.209540858,,1.339287423
2012/13,S08000019,,Elective,,45-64 years,,Males,,Coronary Heart Disease,144,,353.0882966,,356.7170153
2012/13,S08000019,,Elective,,45-64 years,,Females,,Coronary Heart Disease,40,,94.65439315,,95.82334752
2012/13,S08000019,,Elective,,65-74 years,,Males,,Coronary Heart Disease,124,,906.4327485,,906.383073
2012/13,S08000019,,Elective,,65-74 years,,Females,,Coronary Heart Disease,48,,312.3779774,,316.1582677
2012/13,S08000019,,Elective,,75plus years,,Males,,Coronary Heart Disease,60,,668.3747354,,630.9030896
2012/13,S08000019,,Elective,,75plus years,,Females,,Coronary Heart Disease,31,,230.8436965,,234.6447154
2012/13,S08000020,,Elective,,0-44 years,,Males,,Coronary Heart Disease,16,,9.738876377,,10.26708413
2012/13,S08000020,,Elective,,0-44 years,,Females,,Coronary Heart Disease,4,,2.505276739,,2.70033116
2012/13,S08000020,,Elective,,45-64 years,,Males,,Coronary Heart Disease,332,,427.8460785,,431.7895739
2012/13,S08000020,,Elective,,45-64 years,,Females,,Coronary Heart Disease,111,,142.6350214,,145.1101458
2012/13,S08000020,,Elective,,65-74 years,,Males,,Coronary Heart Disease,272,,1104.478824,,1120.813773
2012/13,S08000020,,Elective,,65-74 years,,Females,,Coronary Heart Disease,138,,514.3304387,,520.4001839
2012/13,S08000020,,Elective,,75plus years,,Males,,Coronary Heart Disease,148,,864.8395956,,826.9205692
2012/13,S08000020,,Elective,,75plus years,,Females,,Coronary Heart Disease,97,,381.0346859,,401.0882562
2012/13,S08000022,,Elective,,0-44 years,,Males,,Coronary Heart Disease,4,,5.014667904,,4.95053006
2012/13,S08000022,,Elective,,0-44 years,,Females,,Coronary Heart Disease,4,,5.076399817,,4.731097447
2012/13,S08000022,,Elective,,45-64 years,,Males,,Coronary Heart Disease,240,,509.2622064,,500.9093938
2012/13,S08000022,,Elective,,45-64 years,,Females,,Coronary Heart Disease,78,,159.5483554,,157.8656687
2012/13,S08000022,,Elective,,65-74 years,,Males,,Coronary Heart Disease,202,,1136.363636,,1142.048073
2012/13,S08000022,,Elective,,65-74 years,,Females,,Coronary Heart Disease,71,,375.8204531,,374.8426418
2012/13,S08000022,,Elective,,75plus years,,Males,,Coronary Heart Disease,96,,831.3847753,,788.6129428
2012/13,S08000022,,Elective,,75plus years,,Females,,Coronary Heart Disease,48,,282.2201317,,292.3846311
2012/13,S08000024,,Elective,,0-44 years,,Males,,Coronary Heart Disease,16,,6.430454633,,6.91176083
2012/13,S08000024,,Elective,,0-44 years,,Females,,Coronary Heart Disease,4,,1.595424323,,1.698194445
2012/13,S08000024,,Elective,,45-64 years,,Males,,Coronary Heart Disease,343,,324.530944,,335.9867597
2012/13,S08000024,,Elective,,45-64 years,,Females,,Coronary Heart Disease,102,,93.45965658,,96.71773605
2012/13,S08000024,,Elective,,65-74 years,,Males,,Coronary Heart Disease,242,,742.5590672,,749.264443
2012/13,S08000024,,Elective,,65-74 years,,Females,,Coronary Heart Disease,103,,276.7775568,,279.2838053
2012/13,S08000024,,Elective,,75plus years,,Males,,Coronary Heart Disease,136,,584.8959229,,568.4149417
2012/13,S08000024,,Elective,,75plus years,,Females,,Coronary Heart Disease,66,,181.7080557,,183.1161078
2012/13,S08000025,,Elective,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012/13,S08000025,,Elective,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000025,,Elective,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,424.9990896
2012/13,S08000025,,Elective,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,157.3917114
2012/13,S08000025,,Elective,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,749.7896881
2012/13,S08000025,,Elective,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,233.0370181
2012/13,S08000025,,Elective,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1225.317239
2012/13,S08000025,,Elective,,75plus years,,Females,,Coronary Heart Disease,,c,,c,408.4171806
2012/13,S08000026,,Elective,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
